likes_list,Comments_list,Caption_list,hashtags_list,date_list,url_list
31,0,"The vibrancy of colours is something that brings in a lot of positivity in our lives and Holi being the festival of colours is actually a day worth rejoicing. 

Come lets make this Holi celebration more colorful with your presence",[],2023-04-13 02:06:54,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/327984079_958255322035341_2539652392391382501_n.webp?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=HSmZOhbHT20AX9hq0jJ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA3OTcyMzAxNDUxMzU3NDc5NA%3D%3D.2-ccb7-5&oh=00_AfB0xG0KojZJGunXlodTx55pZDzg9Onm_zePMbQ12ntXHw&oe=643D7D0D&_nc_sid=8fd12b
9,0,"Hello Lakers  Let’s add more fun to the spring break with the excited Badminton 🏸 league. This *Sunday 12th march 12pm-7pm @GVSU Rec center…..* To participate, please use the link  https://qrco.de/bdm5WL or scanner to register *RSVP Required*. 

#gvsu #grandrapids #grr #badminton #grandvalleystateuniversity #events","['gvsu', 'grandrapids', 'grr', 'badminton', 'grandvalleystateuniversity', 'events']",2023-03-11 05:50:59,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/334593960_1185909572125019_4642867562191295157_n.webp?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=WDxijzeAWEAAX-jHe0W&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzA1NTkxODIwMzA2MzA1MjE0OQ%3D%3D.2-ccb7-5&oh=00_AfCYI7cAJLhRvDs9-5l7Sp-yidnDRrRUfISItqBxV8KPKg&oe=643DB46E&_nc_sid=8fd12b
122,0,"All about pongal event❤️
.
.
.
#gvsu #indianstudents #indianassociation #gvsuindianstudents #GVSUIndianassociation #allendale #pongalevent #grandvalley #cultural #traditional #festival #happy #allaboutpongalevent #sankranthi #sankranti","['gvsu', 'indianstudents', 'indianassociation', 'gvsuindianstudents', 'gvsuindianassociation', 'allendale', 'pongalevent', 'grandvalley', 'cultural', 'traditional', 'festival', 'happy', 'allaboutpongalevent', 'sankranthi', 'sankranti']",2023-02-08 00:47:26,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/329377702_680878587128996_1945505954346486112_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=eHwKEchKeyYAX8zpD_L&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAzMzI5NzM2NTg5MzA4ODM3MQ%3D%3D.2-ccb7-5&oh=00_AfBcQtS0y3DUFwZsW50xwDNnfH2wPH_WPrT6v0UK9tL7lw&oe=643DD9ED&_nc_sid=8fd12b
121,1,"dont forget your roots..flag hoisting at our pew campus @gvsu…wishes you happy republic day 🇮🇳
.
.
.
#republicday#memories#roots#freedom#majormissing#takeamoment#ourheroes#flag#tricolour#saffron#white#green#herein#michigan#gvsu#internationalstudents#pewcampus#gvsuindianstudents#jaihind🇮🇳","['republicday', 'memories', 'roots', 'freedom', 'majormissing', 'takeamoment', 'ourheroes', 'flag', 'tricolour', 'saffron', 'white', 'green', 'herein', 'michigan', 'gvsu', 'internationalstudents', 'pewcampus', 'gvsuindianstudents', 'jaihind']",2023-01-27 00:49:41,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/327308952_636354524925620_1487330474436495810_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=108&_nc_ohc=tO91adT0STwAX-ktgQN&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBEfhYsW5cF4Vl24FaVpEskfDjyEeUYnCuNXWnVS23Mlw&oe=6439ABB3&_nc_sid=8fd12b
69,3,Pongal event live performance,[],2023-01-22 02:18:59,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/326400256_158348646610490_86142457855684473_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=TQqnHiPPC4QAX_DWzSF&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfA2XT-wzpsVCe7uCren870QxkqRrUDVpfZKtAzPHtrmJg&oe=6439E8D0&_nc_sid=8fd12b
25,0,"One day to go for the sankranthi event 2k23🙌🏻💫..Can’t wait to see you all at the sankranthi event tomorrow🥳😌 
.
.
.
Few hourss moreee🤩😎
.
.
.
Venue : kirkhoff center 2250 ,allendale campus
.
.
.
#onedaytogo#sankranthievent#gvsustudents#lakerline#pongal#indianstudents#unityindiversity#gvsu#michigan#allendale","['onedaytogo', 'sankranthievent', 'gvsustudents', 'lakerline', 'pongal', 'indianstudents', 'unityindiversity', 'gvsu', 'michigan', 'allendale']",2023-01-21 02:48:24,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/326371845_706195110913727_218306798125573164_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=N-mIDGwPy9sAX_X99wJ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAyMDMxMjI5NzM2NDgwODk2MQ%3D%3D.2-ccb7-5&oh=00_AfBv7DE220FGiodSjWwWIAQtaowIVu27EBnSwX_UEReaMQ&oe=643DF6A9&_nc_sid=8fd12b
14,0,"sankranthi event 2k23 and the final countdown begins.....
.
.
.
here we goo🥳🥳....
.
.
.
4 days to gooo💥💫
.
.
.
#sankranthievent#gvsu#michigan#us#pongal#indians#allendale#kites#bhogi#kanuma#ethnic#culture#unityindiversity#unitedstates","['sankranthievent', 'gvsu', 'michigan', 'us', 'pongal', 'indians', 'allendale', 'kites', 'bhogi', 'kanuma', 'ethnic', 'culture', 'unityindiversity', 'unitedstates']",2023-01-17 04:49:35,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/325852208_567921435197853_4384890717317647860_n.webp?se=8&stp=dst-jpg_e35&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=109&_nc_ohc=1nnk1i8PnkUAX-uY9Od&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAxNzQ3NDE4NjM0ODYzMjQ2Ng%3D%3D.2-ccb7-5&oh=00_AfAefbGM7P84tkTfRKPRAGcYtAr-2Wxynx4HABiMDRIMcg&oe=643CBF9C&_nc_sid=8fd12b
37,2,"Here we go…. As most of us are waiting for the big day, after taking most of the things into consideration here we come up with good news that the Indian Student Association is going to celebrate the Sankranthi/Pongal festival on 21st Jan (Saturday) from 5:00pm - 9:00pm EST. We wish to see you all at this event preferably in traditional  attire. 

#gvsu #gvsulakers #gvsualumni #gvsu2023","['gvsu', 'gvsulakers', 'gvsualumni', 'gvsu2023']",2023-01-15 20:12:33,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/325294579_3463485470551839_6110948930844206470_n.webp?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=103&_nc_ohc=VfoSzSVLI0MAX976PKJ&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MzAxNjQ4OTE3NjQzNTQ4MzA2NA%3D%3D.2-ccb7-5&oh=00_AfAejQ_taZSOtaN5zenv65nanZ2MmlpkoWcIQtok3Y09Jw&oe=643CE70C&_nc_sid=8fd12b
81,1,"Happy Diwali 2k22 🪔 

#gvlakers #diwali #indianassociation.","['gvlakers', 'diwali', 'indianassociation']",2022-10-24 21:51:24,https://scontent-ord5-1.cdninstagram.com/v/t51.2885-15/312369236_671939900939999_7018749108000256540_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-ord5-1.cdninstagram.com&_nc_cat=111&_nc_ohc=CCM-r49FH2MAX9v0oXR&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjk1NjM4MjU0NDAyMzMyOTAzOA%3D%3D.2-ccb7-5&oh=00_AfDEKmy0yQ0VUSKe_r6rD-L7c3l45Ykkoa6R7H2zhFlskw&oe=643DBEDA&_nc_sid=8fd12b
78,1,"Flashback Friday!
For our first-ever Cricket event, we collaborated this past Spring with @gvsuindianstudents and Padnos International Center- who graciously donated all the equipment!
#GVSU #GVRecWell #GVSUInclusive","['gvsu', 'gvrecwell', 'gvsuinclusive']",2022-06-03 17:02:16,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/285346798_325380366436186_6847634939900099610_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=110&_nc_ohc=ASvtP2KuWeIAX9BDwq8&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=Mjg1MjU5NDA4MjA3ODY5Njc1OA%3D%3D.2-ccb7-5&oh=00_AfDRK0S9s60f158HWLmp4dJPLtyzFCq7xYBRFpDtzRO0tA&oe=643D5274&_nc_sid=8fd12b
69,0,#diwali2021 #gvsuindianstudents,"['diwali2021', 'gvsuindianstudents']",2021-11-15 23:15:35,https://scontent-ord5-2.cdninstagram.com/v/t51.2885-15/257434815_3058054931138318_8236552883132966300_n.jpg?se=7&stp=dst-jpg_e35&_nc_ht=scontent-ord5-2.cdninstagram.com&_nc_cat=102&_nc_ohc=P_9LbirJU9wAX_1mNNI&edm=AOQ1c0wBAAAA&ccb=7-5&ig_cache_key=MjcwNzgyNjg0MzE2NjE3NjMxOA%3D%3D.2-ccb7-5&oh=00_AfA8G_qbd3NstS1ppVDz9rKfqktNPGrqS2BkM_q13vwRlA&oe=643DB87A&_nc_sid=8fd12b
